,Unnamed: 0.1,Unnamed: 0,French,English
0,0,1,histoire,history
1,1,2,chercher,search
2,2,3,seulement,only
3,3,5,pensais,thought
4,4,7,demande,request
5,5,9,mois,month
6,6,11,laisser,let
7,7,12,car,because
8,9,17,ville,city
9,10,18,chaque,each
10,11,20,arrivé,come
11,12,25,vont,will
12,13,28,place,square
13,14,29,parle,speak
14,15,32,étaient,were
15,16,35,pourrais,could
16,17,36,affaire,case
17,19,38,type,type
18,20,39,leurs,their
19,21,42,corps,body
20,22,45,façon,way
21,23,47,dont,whose
22,24,48,trouve,find
23,25,52,côté,side
24,26,53,vieux,old
25,27,55,tiens,here
26,28,56,matin,morning
27,29,61,suite,after
28,30,63,devant,in front of
29,31,66,demandé,request
30,32,67,chambre,bedroom
31,33,70,droit,law
32,34,71,aimerais,would like to
33,35,76,eau,water
34,36,83,donne,given
35,37,84,loin,far
36,38,86,croire,believe
37,39,87,chérie,sweetheart
38,40,88,gros,large
39,41,93,bureau,office
